,week,product_analytic_sub_category,gmv,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day,TV_adstock,Digital_adstock,Sponsorship_adstock,content_marketing_adstock,online_marketing_adstock,affiliates_adstock,SEM_adstock,Radio_adstock,Other_adstock,Mean Temp (°C),Heat Deg Days (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm)
48,19,CameraAccessory,1639681.0,6.154442649434572,1158.4442649434573,2.2655896607431343,3.8888529886914376,50.62051861079219,522.0710823909532,556.0,1,46.99999999999999,1233.0,51.216220416189145,0.3096506518279493,0.09357603701079013,1.0397512225299235,0.012371939750376213,1.4351541408450184,0.4839049002771196,0.38311948940522,0.0,0.0,0,1.7018879831677187,0.9296183071116324,6.857552450727222,0.24046812740294454,3.980093180638815,0.5404231956849996,0.9217360816432321,0.0,0.0,13.919999999999998,4.08,1.72,0.0,0.0
51,20,CameraAccessory,1402863.0,6.563838223632038,1213.7323552735925,2.1752577319587627,4.388580491673276,48.79289633177561,546.6923076923077,530.0,1,46.99999999999999,1233.0,51.21622041618967,0.3096506518279489,0.09357603701078986,1.0397512225299157,0.012371939750376754,1.4351541408450128,0.48390490027711514,0.3831194894052048,0.0,0.0,1,1.671161038362124,0.5583851905666061,4.468527447893527,0.13260600345184903,3.823210049228302,0.5379472198456151,0.5674667057338512,0.0,0.0,8.833333333333334,9.166666666666666,5.133333333333333,0.0,0.0
54,21,CameraAccessory,1053853.0,6.004756871035941,1247.1136363636363,2.0544397463002113,3.9503171247357294,48.924814728226366,544.8868921775899,349.0,0,46.99999999999999,1233.0,51.21622041619061,0.30965065182794815,0.09357603701078934,1.0397512225299017,0.01237193975037668,1.4351541408450026,0.4839049002771073,0.3831194894052053,0.0,0.0,0,1.6465794825176476,0.3727686322940924,3.2740149464766652,0.07867494147630119,3.729080170381984,0.5376996222616688,0.4966128305519755,0.0,0.0,6.075,11.925,3.3,2.5,1.75
57,22,CameraAccessory,1116641.000542772,6.439257294429709,1179.115649867374,2.123607427055703,4.315649867374005,44.305462101334534,584.2413795982875,356.0,0,46.99999999999999,1233.0,51.21622041619062,0.30965065182794815,0.09357603701078933,1.0397512225299015,0.012371939750376678,1.4351541408450024,0.48390490027710714,0.3831194894052053,0.0,0.0,0,1.6269142378420662,0.2799603531578355,2.676758695768234,0.05170941048852727,3.6726022430741923,0.537674862503274,0.4824420555156004,0.0,0.0,7.8,10.2,5.8,0.0,0.0
60,23,CameraAccessory,1227462.0,6.259172154280338,1204.1481655691439,2.129821260583255,4.129350893697084,46.99256748563076,568.3386641580432,402.0,0,45.99698965193032,1070.0108184383819,97.62976474373828,0.38181925847139847,0.20321374755963467,3.6479940321348274,0.06748073697511674,1.615575657453478,0.4980808765820363,0.7485393994726047,0.0,0.0,1,1.6833506487450516,0.34319392413855243,4.986373380018945,0.09333544221938037,3.8191370032979934,0.5518483628323637,0.8450278105757248,0.0,0.0,1.8,16.2,2.0,0.0,0.0
63,24,CameraAccessory,1407888.0,5.968339768339768,1329.6196911196912,1.9675675675675677,4.000772200772201,52.72421026562605,533.6108108108108,499.0,0,45.80000000000196,1038.0,106.74531171634025,0.39599305910086713,0.22474642115646098,4.160248810160997,0.07830401791571083,1.6510101590271375,0.5008650159913954,0.820307294021579,0.0,0.0,0,1.7426735780969085,0.3963433832257372,6.6534355001704695,0.12497173902540101,3.9424923610059337,0.5560498522746318,0.9893128561367239,0.0,0.0,8.525,9.475,0.15,0.0,0.0
66,25,CameraAccessory,1259280.0,6.756005652378709,1188.9274611398964,2.167687235044748,4.588318417333961,45.85720312673589,582.6490814884597,436.0,0,45.80000000000175,1038.0,106.74531171634062,0.39599305910086563,0.2247464211564543,4.160248810160854,0.07830401791571044,1.651010159027142,0.5008650159913957,0.8203072940215773,0.0,0.0,1,1.7901319215783924,0.4229181127693229,7.486966560246088,0.14078988742841095,4.016505575630703,0.5564700012188588,1.0181698652489222,0.0,0.0,-0.1,18.1,2.3333333333333335,0.0,0.0
69,26,CameraAccessory,1434999.0,6.386775027705948,1158.6786110084965,2.152936830439601,4.233838197266347,51.14366346745242,521.2177687476911,612.0,1,45.800000000002,1038.0,106.74531171634018,0.3959930591008674,0.2247464211564631,4.160248810161025,0.07830401791571091,1.6510101590271515,0.5008650159913953,0.8203072940215714,0.0,0.0,0,1.8280985963635814,0.43620547754112454,7.903732090284069,0.1486989616299164,4.060913504405573,0.5565120161132812,1.023941267071356,0.0,0.0,8.05,9.95,7.199999999999999,0.0,0.0
72,27,CameraAccessory,1362286.0,6.154359780047133,1124.7458758837392,1.988609583660644,4.1657501963864885,48.1675685507787,527.3758837391988,476.0,1,46.39268167961898,1044.4171249018068,91.82581180551094,0.36177600883228933,0.13706487416446528,2.394571539947198,0.07267774280001357,1.6643352560762228,0.5191273661515682,0.5855458719363897,0.09079688821257169,0.9109954450661316,1,1.8242548859231547,0.3551676129350275,6.346437585089232,0.14702722361497178,4.100883358719566,0.5747785677628963,0.7903341253506609,0.09079688821257169,0.9109954450661316,2.3,15.7,0.0,0.0,0.0
75,28,CameraAccessory,1605146.0,6.047139045360214,1089.6869255855322,2.2525941298547285,3.794544915505485,53.13991755877157,467.1375630002965,529.0,0,47.09303132503072,1052.0,74.19599999999771,0.32134300770088287,0.0334548884729709,0.30813713067209225,0.06602938514401971,1.6800810219977296,0.5407072983459905,0.30813713067209225,0.19808815543205832,1.9874844928347604,0,1.7807469164394067,0.21103869494048466,3.481355923216708,0.1395429969515056,4.140611037229469,0.5981851551222801,0.46620395574222445,0.24348659953834417,2.0785840373413738,0.06666666666666672,17.933333333333334,7.866666666666667,2.3333333333333335,0.0
