,week,product_analytic_sub_category,gmv,units,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day
65,24,HomeAudio,1014544.0,898,7.117977528089888,1799.861797752809,1.9247191011235956,5.193258426966292,34.13794714211814,1131.9258426966292,168.0,0,45.80000000000015,1038.0,106.74531171634338,0.36301554747016646,0.2060299877561609,3.813791592362448,0.07178301558448649,1.5135173281040897,0.45915397709653155,0.751993739761918,0.0,0.0,0
66,25,CameraAccessory,1259280.0,2167,6.756005652378709,1188.9274611398964,2.167687235044748,4.588318417333961,45.85720312673589,582.6490814884597,436.0,0,45.80000000000175,1038.0,106.74531171634062,0.39599305910086563,0.2247464211564543,4.160248810160854,0.07830401791571044,1.651010159027142,0.5008650159913957,0.8203072940215773,0.0,0.0,1
67,25,GamingAccessory,1331840.0,2632,6.79897718332022,1117.3095987411486,2.1782061369000787,4.620771046420142,48.55464476006107,514.5021636506688,365.0,0,45.800000000001944,1038.0,106.7453117163403,0.2528599133584407,0.14351100170866177,2.656511596631179,0.050000743019947384,1.0542464726868246,0.3198255162235366,0.5238042095095353,0.0,0.0,1
68,25,HomeAudio,1020977.0,900,7.599777034559644,1703.8862876254182,1.9520624303232998,5.647714604236343,32.489711737693476,1136.7134894091416,165.0,0,45.800000000000175,1038.0,106.74531171634334,0.3630155474701666,0.20602998775616085,3.813791592362449,0.07178301558448649,1.5135173281040903,0.45915397709653166,0.7519937397619181,0.0,0.0,1
69,26,CameraAccessory,1434999.0,2765,6.386775027705948,1158.6786110084965,2.152936830439601,4.233838197266347,51.14366346745242,521.2177687476911,612.0,1,45.800000000002,1038.0,106.74531171634018,0.3959930591008674,0.2247464211564631,4.160248810161025,0.07830401791571091,1.6510101590271515,0.5008650159913953,0.8203072940215714,0.0,0.0,0
70,26,GamingAccessory,2206569.0,4303,5.988650084520647,1366.6906544312967,2.2765032600821056,3.7121468244385416,55.28866557946388,521.3250020123965,596.0,1,45.799999999997816,1038.0,106.74531171633964,0.25285991335842756,0.14351100170866352,2.6565115966312605,0.0500007430199485,1.0542464726868257,0.31982551622354,0.523804209509548,0.0,0.0,0
71,26,HomeAudio,919274.0,829,7.011015911872705,1680.3855569155446,1.9767441860465116,5.034271725826193,32.613895163018526,1116.3965728274175,161.0,1,45.79999999999991,1038.0,106.7453117163438,0.36301554747016496,0.20602998775616158,3.8137915923624366,0.07178301558448648,1.5135173281040823,0.45915397709653005,0.7519937397619171,0.0,0.0,0
72,27,CameraAccessory,1362286.0,2597,6.154359780047133,1124.7458758837392,1.988609583660644,4.1657501963864885,48.1675685507787,527.3758837391988,476.0,1,46.39268167961898,1044.4171249018068,91.82581180551094,0.36177600883228933,0.13706487416446528,2.394571539947198,0.07267774280001357,1.6643352560762228,0.5191273661515682,0.5855458719363897,0.09079688821257169,0.9109954450661316,1
73,27,GamingAccessory,1605851.0,3099,6.185690515806988,1282.0838602329452,2.15540765391015,4.030282861896839,51.45215180994938,526.3890183028286,399.0,1,46.391222975238314,1044.4013311148087,91.86253158380946,0.2310645166354204,0.08766007104749578,1.5318197752412879,0.046416947886903336,1.0627342229246308,0.3314581719817729,0.3742671135457107,0.05783532432740182,0.58028108741827,1
74,27,HomeAudio,1300364.0,1079,7.133953488372093,1795.599069767442,1.8855813953488372,5.248372093023256,31.548008241973495,1207.1293023255814,202.0,1,46.42306067569079,1044.7460465116278,91.06108523349126,0.3300402244490622,0.12153037974325266,2.112190259713066,0.06636091642954663,1.526358861083308,0.47675359164336156,0.5257517444585964,0.08750189436614958,0.8779356734737034,1
